sentence,entities,entities_spans,label
"PREECLAMPSIA is not primarily a hypertensive disease, despite being defined by its most common clinical manifestations: hypertension and PROTEINURIA","[('PROTEINURIA', 'DISE'), ('PREECLAMPSIA', 'SYMP')]","[(137, 148, 'DISE'), (0, 12, 'SYMP')]",1
MAJOR BLEEDING occurred significantly less often with DABIGATRAN 110 MG than warfarin; dabigatran 150 mg had similar bleeding to warfarin.,"[('MAJOR BLEEDING', 'DISE'), ('DABIGATRAN 110 MG', 'DRUG')]","[(0, 14, 'DISE'), (54, 71, 'DRUG')]",2
"A 21-year-old man with Tourette's syndrome, pedophilia, Asperger's syndrome, and multiple sclerosis experienced seizures after receiving therapy with interferon beta-1a.","[('interferon beta-1a', 'DRUG'), ('seizures', 'DISE')]","[(150, 168, 'DRUG'), (112, 120, 'DISE')]",1
"B]  Specific recommendation: • Advise women with prolactin secreting microadenomas who are taking cabergoline to consider switching to bromocriptine, and then to withdraw BROMOCRIPTINE at the time of the first missed menses and subsequent confirmation of PREGNCY","[('PREGNCY', 'DISE'), ('BROMOCRIPTINE', 'SYMP')]","[(255, 264, 'DISE'), (171, 184, 'SYMP')]",0
1   Reduces duration and severity of nEUTROPENIA In patients with cHEMOTHERAPY INDUCED NEUTROPENIA..,"[('EUTROPENIA I', 'DISE'), ('HEMOTHERAPY INDUCED NEUTROPENIA', 'SYMP')]","[(38, 50, 'DISE'), (67, 98, 'SYMP')]",1
"Ziprasidone is an atypical antipsychotic drug that is believed to have a low propensity for inducing extrapyramidal symptoms, including tardive dyskinesia (TD).","[('Ziprasidone', 'DRUG'), ('tardive dyskinesia', 'DISE')]","[(0, 11, 'DRUG'), (136, 154, 'DISE')]",1
"However, madarosis may be the presenting sign of DLE in the absence of any history of preceding erythema and scarring and should therefore be considered in the differential diagnosis of chronic BLEPHARITIS that persists despite usual medical magement and EYELID hygiene.","[('EYELID', 'DISE'), ('BLEPHARITIS', 'DRUG')]","[(257, 263, 'DISE'), (194, 205, 'DRUG')]",0
PRV-1 causes heart and skeletal muscle inflammation (HSMI) in Atlantic salmon (Salmo salar) and is associated with jaundice syndrome in farmed chinook salmon (Oncorhynchus tshawytscha).,"[('heart and skeletal muscle inflammation', 'DISE'), ('Oncorhynchus tshawytscha', 'FOOD')]","[(13, 51, 'DISE'), (159, 183, 'FOOD')]",0
"Allergic diseases such as allergic asthma, ALLERGIC RHINITIS and ATOPIC DERMATITIS are characterized by a complex interaction of different cell types and mediators","[('ALLERGIC RHINITIS', 'DISE'), ('ATOPIC DERMATITIS', 'DRUG')]","[(43, 60, 'DISE'), (65, 82, 'DRUG')]",0
SCOLIOSIS is sometimes caused by SYRINGOMYELIA.,"[('SCOLIOSIS', 'DISE'), ('SYRINGOMYELIA', 'SYMP')]","[(0, 9, 'DISE'), (33, 46, 'SYMP')]",1
"Both DIABETIC KETOACIDOSIS (DKA) and hyperglycemic, HYPEROSMOLAR NONKETOTIC COMA (HHNC) are stressful metabolic occurrences brought about by the orchestration of numerous events.","[('HYPEROSMOLAR NONKETOTIC COMA', 'DISE'), ('DIABETIC KETOACIDOSIS', 'DRUG')]","[(52, 80, 'DISE'), (5, 26, 'DRUG')]",0
"Therefore, to the extent that the severity of OBESITY predicts morbidity, persistence of CHILDHOOD OBESITY may be expected to account for a disproportiote share of the adult sequelae of obesity","[('OBESITY', 'DISE'), ('CHILDHOOD OBESITY', 'DRUG')]","[(46, 53, 'DISE'), (89, 106, 'DRUG')]",0
DROPERIDOL    (                 audio )  A drug used for three purposes: to premedicate patients for surgery; to prevent and treat usea and VOMITING; and to sedate agitated and psychotic patients.,"[('VOMITING', 'DISE'), ('DROPERIDOL', 'DRUG')]","[(142, 150, 'DISE'), (0, 10, 'DRUG')]",2
Children with cerebral palsy exhibit eating problems due to the effect on the anatomical and functional structures involved in the eating function resulting in malnutrition.,"[('cerebral palsy', 'DISE'), ('malnutrition', 'FOOD')]","[(14, 28, 'DISE'), (160, 172, 'FOOD')]",0
Linear IgA bullous dermatosis occurring after carbamazepine.,"[('carbamazepine', 'DRUG'), ('Linear IgA bullous dermatosis', 'DISE')]","[(46, 59, 'DRUG'), (0, 29, 'DISE')]",1
"A retrospective epidemiological study of deaths from hepatic angiosarcoma (HAS) in the U.S. showed that during 1964--74 there were 168 such cases, of which 37 (22%) were associated with previously known causes (vinyl chloride, 'Thorotrast', and inorganic arsenic) and 4 (3.1%) of the remaining 131 cases with the use of androgenic-anabolic steroids.","[('inorganic arsenic', 'DRUG'), ('hepatic angiosarcoma', 'DISE')]","[(245, 262, 'DRUG'), (53, 73, 'DISE')]",1
Use of benzodiazepines e.g NITRAZEPAM in LATE PREGNCY especially high doses may result in floppy infant syndrome.,"[('LATE PREGNCY', 'DISE'), (' NITRAZEPAM', 'DRUG')]","[(41, 55, 'DISE'), (26, 37, 'DRUG')]",0
Epileptic women were found to have a 26.1% risk of seizure deterioration during pregncy and the single most important factor for predicting SEIZURE prognosis was the severity of EPILEPSY prepregncy.,"[('SEIZURE', 'DISE'), ('EPILEPSY', 'SYMP')]","[(142, 149, 'DISE'), (180, 188, 'SYMP')]",1
"Identification of more LQTS mutations in SIDS cases could provide new insights into the pathophysiology of SIDS and, consequently, reduce the number of unexplained SUDDEN INFANT DEATHS","[('SUDDEN INFANT DEATHS', 'DISE'), ('SIDS', 'DRUG')]","[(164, 192, 'DISE'), (41, 45, 'DRUG')]",0
"CHLORAMPHENICOL    (                     audio )  A broad spectrum antibiotic employed intertiolly for the treatment of SALMONELLOSIS ricksettsial diseases, and meningitis.","[('SALMONELLOSIS', 'DISE'), ('CHLORAMPHENICOL', 'DRUG')]","[(124, 137, 'DISE'), (0, 15, 'DRUG')]",2
A possible role of LEU in sensomotor cortex is limitation of intensity and duration of SEIZURES and prevention of STATUS EPILEPTICUS,"[('STATUS EPILEPTICUS', 'DISE'), ('SEIZURES', 'SYMP')]","[(114, 140, 'DISE'), (87, 95, 'SYMP')]",1
"HPV D was detected in 38% of normal follow up cervical scrapes, 51% of scrapes with atypical squamous cells of undetermined significance, 78% of scrapes with mild dysplasia (low grade squamous intraepithelial lesions), 86% of scrapes with moderate dysplasia (high grade squamous intraepithelial lesions), and in 88% of scrapes with SEVERE DYSPLASIA and CARCINOMA IN SITU","[('SEVERE DYSPLASIA', 'DISE'), ('CARCINOMA IN SITU', 'DRUG')]","[(334, 350, 'DISE'), (355, 380, 'DRUG')]",0
Three  versus four week administration of BENZATHINE PENICILLIN G: effects on incidence of streptococcal infections and recurrences of RHEUMATIC FEVER,"[('RHEUMATIC FEVER', 'DISE'), ('BENZATHINE PENICILLIN G', 'DRUG')]","[(135, 157, 'DISE'), (42, 65, 'DRUG')]",2
"Acute onset of an illness (over minutes to several hours) involving the SKIN mucosal tissue, or both (e.g., GENERALIZED HIVES; pruritus or flushing; swollen lips, tongue, or uvula) and at least one of the following:  a.","[('SKIN', 'DISE'), ('GENERALIZED HIVES', 'DRUG')]","[(72, 76, 'DISE'), (108, 125, 'DRUG')]",0
"Comparable adverse effects, such as disorientation and temporary amnesia, have been reported in patients in the analogous agent, propranolol.","[('propranolol', 'DRUG'), ('disorientation', 'DISE')]","[(129, 140, 'DRUG'), (36, 50, 'DISE')]",1
"In patients with chronic heart failure, spironolactone added to conventional treatment may lead to serious and, occasionally, fatal hyperkalaemia.","[('spironolactone', 'DRUG'), ('serious and, occasionally, fatal hyperkalaemia', 'DISE')]","[(40, 54, 'DRUG'), (99, 145, 'DISE')]",1
"Low dose MORPHINE may blunt the medullary response to CO 2  retention or O 2  decline, reducing DYSPNEA and decreasing anxiety without causing significant respiratory depression.","[('DYSPNEA', 'DISE'), ('MORPHINE', 'DRUG')]","[(96, 103, 'DISE'), (9, 17, 'DRUG')]",2
"e.g., DIMENHYDRITE MECLIZINE ANTI EMETICS that suppress usea and vomiting of VESTIBULAR ORIGIN AND VERTIGO MAY MASK SYMPTOMS of vestibular ototoxicity [ 23 ]    Bacitracin Possible increased incidence of nephrotoxicity and/or neurotoxicity [ 1 , 2 ] Avoid concurrent or sequential use, if possible [ 1 , 2 ]   β Lactam antibiotics (cephalosporins, penicillins.","[('VESTIBULAR ORIGIN AND VERTIGO MAY MASK SYMPTOMS', 'DISE'), ('DIMENHYDRITE MECLIZINE ANTI EMETICS', 'SYMP')]","[(81, 128, 'DISE'), (6, 43, 'SYMP')]",0
Webster G: Combition AZELAIC ACID therapy for ACNE VULGARIS.,"[('ACNE VULGARIS', 'DISE'), ('AZELAIC ACID', 'DRUG')]","[(48, 61, 'DISE'), (23, 35, 'DRUG')]",2
Use of CORTICOSTEROIDS may be indicated to suppress the INFLAMMATORY REACTION in the colon if megacolon has resulted from active inflammatory bowel disease.,"[('INFLAMMATORY REACTION', 'DISE'), ('CORTICOSTEROIDS', 'DRUG')]","[(56, 77, 'DISE'), (7, 22, 'DRUG')]",2
"In three patients THROMBOSED VEINS were documented by venography and in all five cases, the presence of VENOUS THROMBOSIS was substantiated by the clinical findings.","[('THROMBOSED VEINS', 'DISE'), ('VENOUS THROMBOSIS', 'DRUG')]","[(18, 34, 'DISE'), (104, 121, 'DRUG')]",0
"Antiepileptic agents often include phenytoin or carbamazepine for partial seizures, valproic acid for absence seizures, and any of these agents or phenobarbital, with or without newer drugs, such as gabapentin or LAMOTRIGINE for generalized SEIZURES","[('SEIZURES', 'DISE'), ('LAMOTRIGINE', 'DRUG')]","[(241, 256, 'DISE'), (213, 224, 'DRUG')]",2
"Due to its potassium-sparing capacities, HYPERKALEMIA are occasiolly observed in patients taking AMILORIDE.","[('HYPERKALEMIA', 'DISE'), ('AMILORIDE', 'DRUG')]","[(41, 53, 'DISE'), (99, 108, 'DRUG')]",0
"The commonly used medications in cardiac resuscitation may be grouped into the following general categories: vasopressors (epinephrine or vasopressin), antiarrhythmics (amiodarone, lidocaine, and magnesium), anticholinergic AGENTS (ATROPINE if the ARREST ARRHYTHMIA is asystole or PEA is slow), and miscellaneous drugs used to treat specific problems contributing to the arrest state, such as sodium bicarbote (for severe metabolic acidosis, hyperkalemia, and certain drug overdoses) and calcium chloride (for hyperkalemia, calcium channel blocker drug overdose, or severe hypocalcemia)  see.","[('ARREST ARRHYTHMIA', 'DISE'), ('AGENTS (ATROPINE', 'DRUG')]","[(248, 265, 'DISE'), (224, 240, 'DRUG')]",2
FIBROMYALGIA is suspected in patients with GENERALIZED PAIN AND TENDERNESS especially disproportiote to the physical findings; with negative laboratory results despite widespread symptoms; or when fatigue is the predomint symptom.,"[('GENERALIZED PAIN AND TENDERNESS', 'DISE'), ('FIBROMYALGIA', 'SYMP')]","[(43, 74, 'DISE'), (0, 12, 'SYMP')]",1
"Semplicini A, Rossi GP, Bongiovi S et al. Time course changes in blood pressure, aldosterone and body fluids during elapril treatment: a double blind randomized study vs hydrochlorothiazide plus PROPRANOLOL in essential HYPERTENSION","[('HYPERTENSION', 'DISE'), ('PROPRANOLOL', 'DRUG')]","[(222, 241, 'DISE'), (197, 208, 'DRUG')]",2
RIBAVIRIN and interferons are contraindicated during PREGNCY,"[('PREGNCY', 'DISE'), ('RIBAVIRIN', 'DRUG')]","[(53, 69, 'DISE'), (0, 9, 'DRUG')]",0
We have safely used recombinant factor VIIa to treat bleeding in the immediate and long-term period following PCC-related MI.,"[('PCC', 'DRUG'), ('MI', 'DISE')]","[(110, 113, 'DRUG'), (122, 124, 'DISE')]",1
Phantom limb pain as a manifestation of paclitaxel neurotoxicity.,"[('paclitaxel', 'DRUG'), ('Phantom limb pain', 'DISE')]","[(40, 50, 'DRUG'), (0, 17, 'DISE')]",1
"Patients with hemispheric tumors died from DEDIFFERENTIATION into an APLASTIC ASTROCYTOMA or a glioblastoma multiforme, with a median time to recurrence of 4.5 years from the origil surgery","[('DEDIFFERENTIATION', 'DISE'), ('APLASTIC ASTROCYTOMA', 'SYMP')]","[(43, 60, 'DISE'), (69, 91, 'SYMP')]",1
Men with prostate enlargement who take PROTRIPTYLINE may be especially likely to have problems with URIRY RETENTION.,"[('URIRY RETENTION', 'DISE'), ('PROTRIPTYLINE', 'SYMP')]","[(100, 117, 'DISE'), (39, 52, 'SYMP')]",1
"The spectrum of renal lesions occurring during antituberculous therapy, particularly in association with rifampin, may be wider than previously suspected.","[('rifampin', 'DRUG'), ('renal lesions', 'DISE')]","[(105, 113, 'DRUG'), (16, 29, 'DISE')]",1
This case extends the spectrum of fludarabine pulmonary toxicity to include pulmonary nodules.,"[('fludarabine', 'DRUG'), ('pulmonary toxicity', 'DISE')]","[(34, 45, 'DRUG'), (46, 64, 'DISE')]",1
Rapid onset of muscle weakness (rhabdomyolysis) associated with the combined use of simvastatin and colchicine.,"[('simvastatin', 'DRUG'), ('rhabdomyolysis', 'DISE')]","[(84, 95, 'DRUG'), (32, 46, 'DISE')]",1
"1  Rex JH, Bennett JE, Sugar AM, Pappas PG, van der Horst CM, Edwards JE, et al. A randomized trial comparing flucozole with AMPHOTERICIN B for the treatment of candidemia in patients without NEUTROPENIA","[('NEUTROPENIA', 'DISE'), ('AMPHOTERICIN B', 'DRUG')]","[(194, 212, 'DISE'), (127, 141, 'DRUG')]",2
"Wan S, Quinlan DJ, Agnelli G et al. Thrombolysis compared with HEPARIN for the initial treatment of PULMORY EMBOLISM","[('PULMORY EMBOLISM', 'DISE'), ('HEPARIN', 'DRUG')]","[(100, 125, 'DISE'), (63, 70, 'DRUG')]",2
"Carbamazepine hypersensitivity syndrome is a rare, life-threatening condition.","[('Carbamazepine', 'DRUG'), ('hypersensitivity syndrome', 'DISE')]","[(0, 13, 'DRUG'), (14, 39, 'DISE')]",1
Treatment of PRIMARY MODERATE HYPERCHOLESTEROLEMIA with LOVASTATIN (mevinolin) and colestipol.,"[('PRIMARY MODERATE HYPERCHOLESTEROLEMIA', 'DISE'), ('LOVASTATIN', 'DRUG')]","[(13, 50, 'DISE'), (56, 66, 'DRUG')]",2
The pump delivers BACLOFEN via a catheter to the thecal space surrounding the SPIL CORD,"[('SPIL CORD', 'DISE'), ('BACLOFEN', 'SYMP')]","[(78, 89, 'DISE'), (18, 26, 'SYMP')]",0
A 54-year-old man developed TEN 4 weeks after beginning lamotrigine for complex partial seizures related to a glioblastoma multiforme brain tumor.,"[('lamotrigine', 'DRUG'), ('TEN', 'DISE')]","[(56, 67, 'DRUG'), (28, 31, 'DISE')]",1
"The principal symptoms were LOCAL PAIN in 8 patients, NEURALGIA SYNDROME in 3, and rupture in 2.","[('LOCAL PAIN', 'DISE'), ('NEURALGIA SYNDROME', 'SYMP')]","[(28, 38, 'DISE'), (54, 72, 'SYMP')]",1
"Patients with PHP IA exhibit a complex of somatic abnormalities, termed ALBRIGHT HEREDITARY OSTEODYSTROPHY (AHO).","[('ALBRIGHT HEREDITARY OSTEODYSTROPHY (AHO)', 'DISE'), ('PHP IA', 'SYMP')]","[(72, 112, 'DISE'), (14, 20, 'SYMP')]",1
"Abdomil pain related to serositis, vasculitis, or panniculitis may occur with SLE Physical exam  Musculoskeletal exam  ARTHRITIS is a feature of both SLE and WG Physical exam  Peripheral vascular exam  Asymmetry of pulses or the presence of vascular bruits may suggest vasculitis or large vessel arterial disease.","[('ARTHRITIS', 'DISE'), ('SLE', 'SYMP')]","[(121, 130, 'DISE'), (80, 83, 'SYMP')]",1
Itch and skin rash from chocolate during fluoxetine and sertraline treatment: case report.,"[('sertraline', 'DRUG'), ('Itch', 'DISE')]","[(56, 66, 'DRUG'), (0, 4, 'DISE')]",1
"cirrhosis mortality rates in Britain from 1950 to 2002: an alysis of routine data  Effectiveness and safety of baclofen for maintence of alcohol abstinence in alcohol dependent patients with liver cirrhosis: randomised, double blind controlled study  Non peptide arginine vasopressin antagonists: the vaptans  New England Jourl of Medicine  Prolonged therapy of advanced CHRONIC HEPATITIS C with low dose PEGINTERFERON","[('CHRONIC HEPATITIS C', 'DISE'), ('PEGINTERFERON', 'DRUG')]","[(377, 396, 'DISE'), (411, 432, 'DRUG')]",2
"66   Since albumin human is prepared from pooled human plasma, it is a potential vehicle for transmission of HUMAN VIRUSES including the causative agents of VIRAL HEPATITIS and HIV infection, and theoretically may carry a risk of transmitting the causative agent of Creutzfeldt Jakob disease (CJD) or variant CJD (vCJD.","[('VIRAL HEPATITIS', 'DISE'), ('HUMAN VIRUSES', 'SYMP')]","[(157, 172, 'DISE'), (109, 122, 'SYMP')]",1
Lacunes consist of small vascular lesions with a volume of between 2 and about 30 mm. These lacur infarctions are determined by an ISCHEMIA caused by obstructive diseases of small termil VESSELS in the deep areas of the brain.,"[('VESSELS', 'DISE'), ('ISCHEMIA', 'DRUG')]","[(191, 198, 'DISE'), (133, 141, 'DRUG')]",0
"In this report we described a case of juvenile idiopathic arthritis patient who developed thymic enlargement (true thymic hyperplasia), mediastinal lymphadenopathy and pleurisy associated with systemic symptoms under Etanercept treatment.","[('Etanercept', 'DRUG'), ('thymic hyperplasia', 'DISE')]","[(217, 227, 'DRUG'), (115, 133, 'DISE')]",1
"This paper reviewed clinical studies and found that fluoride varnish's effectiveness in caries prevention, ease of application, and safety give it an advantage over other types of topical FLUORIDE treatments (such as gels and rinses) or other CARIES magement methods.","[('CARIES', 'DISE'), ('FLUORIDE', 'DRUG')]","[(243, 249, 'DISE'), (188, 196, 'DRUG')]",2
"Although dairy products provide more bone-beneficial nutrients (e.g., calcium, magnesium, potassium, zinc, phosphorus, and protein) per unit of energy than any other food group, the relevance of dairy products for long-term bone health and fracture prevention has resurged as some observational studies have suggested consumption to be associated with a greater risk of fractures.","[('zinc', 'FOOD'), ('fracture', 'DISE')]","[(101, 105, 'FOOD'), (240, 248, 'DISE')]",0
Use of the Naranjo adverse drug reaction probability scale indicated a probable relationship (score of 5) between the patient's development of hepatotoxicity and the TMP-SMX therapy.,"[('TMP-SMX', 'DRUG'), ('hepatotoxicity', 'DISE')]","[(166, 173, 'DRUG'), (143, 157, 'DISE')]",1
Serious adverse events experienced by patients with chronic heart failure taking spironolactone.,"[('spironolactone', 'DRUG'), ('Serious adverse events', 'DISE')]","[(81, 95, 'DRUG'), (0, 22, 'DISE')]",1
"Peanut allergy that affects 1.4-4.5% of North American children, has increased in prevalence in the past 20 years, is often diagnosed early in life, and outgrown in fewer than 20-32% of children by age 6.","[('Peanut', 'FOOD'), ('allergy', 'DISE')]","[(0, 6, 'FOOD'), (7, 14, 'DISE')]",1
"HYPERTENSION  Although mild or moderate hypertension does not usually cause headache, SEVERE HYPERTENSION from the following conditions can cause headache: acute pressor response to exogenous agents, PHEOCHROMOCYTOMA malignt hypertension, and preeclampsia and eclampsia.","[('PHEOCHROMOCYTOMA', 'DISE'), ('SEVERE HYPERTENSION', 'SYMP')]","[(200, 216, 'DISE'), (86, 105, 'SYMP')]",1
Antidepressants specially PAROXETINE and venlafaxine can lead to SPONTANEOUS ABORTION.,"[('SPONTANEOUS ABORTION', 'DISE'), ('PAROXETINE', 'SYMP')]","[(65, 85, 'DISE'), (26, 36, 'SYMP')]",1
"When topically applied to the eye before allergen exposure, ocular sodium cromoglycate prevents many of the signs and symptoms associated with TYPE I ALLERGIC REACTIONS (which includes hayfever, acute allergic and chronic allergic conjunctivitis, and VERL KERATOCONJUNCTIVITIS) and giant papillary conjunctivitis.","[('TYPE I ALLERGIC REACTIONS', 'DISE'), ('VERL KERATOCONJUNCTIVITIS', 'DRUG')]","[(143, 168, 'DISE'), (251, 278, 'DRUG')]",0
Methylphenidate (Ritalin)-associated cataract and glaucoma.,"[('Ritalin', 'DRUG'), ('cataract', 'DISE')]","[(17, 24, 'DRUG'), (37, 45, 'DISE')]",1
"The clinical course suggests that caffeine, which is present in oolong tea, was mainly responsible for the rhabdomyolysis as well as the delirium, although severe hyponatremia has been reported to cause rhabdomyolysis on rare occasions.","[('caffeine', 'DRUG'), ('delirium', 'DISE')]","[(34, 42, 'DRUG'), (137, 145, 'DISE')]",1
These ARRHYTHMIAS were thought to be caused by varicella myocarditis and were resistant to most common ANTIARRHYTHMIC AGENTS,"[('ARRHYTHMIAS', 'DISE'), ('ANTIARRHYTHMIC AGENTS', 'SYMP')]","[(6, 17, 'DISE'), (103, 132, 'SYMP')]",1
"Paasch U, Haustein U F: Magement of endemic outbreaks of SCABIES with allethrin, PERMETHRIN and ivermectin.","[('SCABIES', 'DISE'), ('PERMETHRIN', 'DRUG')]","[(59, 66, 'DISE'), (83, 93, 'DRUG')]",2
Anaphylaxis from isoniazid is a possible side effect to this commonly prescribed antibiotic.,"[('isoniazid', 'DRUG'), ('Anaphylaxis', 'DISE')]","[(17, 26, 'DRUG'), (0, 11, 'DISE')]",1
Six patients with no previous signs or symptoms suggestive of coronary artery disease developed acute coronary ischemia/infarction shortly after cis-diamine-dichloroplatinum II (cisplatin) -based chemotherapy.,"[('cis-diamine-dichloroplatinum II', 'DRUG'), ('infarction', 'DISE')]","[(145, 176, 'DRUG'), (120, 130, 'DISE')]",1
"ANDERSEN SYNDROME is characterized by periodic paralysis, which may be accompanied by fixed weakness; long QT syndrome with cardiac ventricular arrhythmias; and dysmorphic craniofacial features, such as MICROGTHIA low set ears, short stature, and syndactyly.","[('MICROGTHIA', 'DISE'), ('ANDERSEN SYNDROME', 'SYMP')]","[(203, 215, 'DISE'), (0, 17, 'SYMP')]",1
"◊ Reproductive assistance for infertility in women ◊ Dialysis for rel failure  Ratiole: • Immune mediated inflammatory granulomas leading to widespread fibrosis of affected organs can cause complications such as portal hypertension and URIRY TRACT FIBROSIS which, in turn, can progress to varix formation, ascites, pedal edema, splenomegaly, hydronephrosis, repeated URIRY TRACT INFECTIONS and liver and rel failure.","[('URIRY TRACT INFECTIONS', 'DISE'), ('URIRY TRACT FIBROSIS', 'SYMP')]","[(373, 397, 'DISE'), (240, 262, 'SYMP')]",1
"Thus, tacrolimus-induced HUS is a rare cause of ARF in nephrotic syndrome.","[('tacrolimus', 'DRUG'), ('ARF', 'DISE')]","[(6, 16, 'DRUG'), (48, 51, 'DISE')]",1
"Hillier SL, Lipinski C, Briselden AM et al. Efficacy of INTRAVAGIL 0.75% METRONIDAZOLE GEL for the treatment of BACTERIAL VAGINOSIS","[('BACTERIAL VAGINOSIS', 'DISE'), ('INTRAVAGIL 0.75% METRONIDAZOLE GEL', 'DRUG')]","[(114, 137, 'DISE'), (56, 92, 'DRUG')]",2
"Three days after intravitreal injection of bevacizumab, acute ocular ischemic syndrome occurred.","[('bevacizumab', 'DRUG'), ('acute ocular ischemic syndrome', 'DISE')]","[(43, 54, 'DRUG'), (56, 86, 'DISE')]",1
I saw two patients with kala-azar resistant to sodium stibogluconate who developed cardiac arrest after amphotericin infusion (in spite of tolerating a test dose).,"[('amphotericin', 'DRUG'), ('cardiac arrest', 'DISE')]","[(104, 116, 'DRUG'), (83, 97, 'DISE')]",1
FORSKOLIN may be helpful to control the underlying cause of GLAUCOMA.,"[('GLAUCOMA', 'DISE'), ('FORSKOLIN', 'DRUG')]","[(60, 68, 'DISE'), (0, 9, 'DRUG')]",2
"Posterior leukoencephalopathy following cisplatin, bleomycin and vinblastine therapy for germ cell tumor of the ovary.","[('vinblastine', 'DRUG'), ('Posterior leukoencephalopathy', 'DISE')]","[(65, 76, 'DRUG'), (0, 29, 'DISE')]",1
"Here, a small stomach pouch is created with a STAPLER DEVICE and connected to the DISTAL SMALL INTESTINE","[('DISTAL SMALL INTESTINE', 'DISE'), ('STAPLER DEVICE', 'DRUG')]","[(82, 112, 'DISE'), (46, 60, 'DRUG')]",0
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.","[('cytosine arabinoside', 'DRUG'), ('gastrointestinal tract symptoms', 'DISE')]","[(130, 150, 'DRUG'), (251, 282, 'DISE')]",1
"Fortunately, a hypersensitivity reaction to one formulation of cyclosporine does not preclude use of a different formulation.","[('cyclosporine', 'DRUG'), ('hypersensitivity reaction', 'DISE')]","[(63, 75, 'DRUG'), (15, 40, 'DISE')]",1
BC]  Specific recommendation: • Know the local sensitivity data of BACTERIA in addition to the most frequent cause of SEPTIC ARTHRITIS in your local community to aid the selection of antimicrobial agents before culture and sensitivity results.,"[('SEPTIC ARTHRITIS', 'DISE'), ('BACTERIA', 'SYMP')]","[(118, 134, 'DISE'), (67, 75, 'SYMP')]",1
"Ondansetron was superior to high dose metoclopramide in controlling ACUTE EMESIS and usea, and there was a significant patient preference for ONDANSETRON","[('ACUTE EMESIS', 'DISE'), ('ONDANSETRON', 'DRUG')]","[(68, 80, 'DISE'), (144, 160, 'DRUG')]",2
"Comparison with 2,901 controls, and mutual comparison of categories, showed that suicides involving ASPHYXIATION were closely associated with ASPHYXIA at birth, suicides by violent mechanical means were associated with mechanical birth trauma and drug addiction was associated with opiate and/or barbiturate administration to mothers during labor.","[('ASPHYXIATION', 'DISE'), ('ASPHYXIA', 'DRUG')]","[(100, 112, 'DISE'), (100, 108, 'DRUG')]",0
"These include infectious causes such as tuberculosis or PNEUMONIA, or inflammatory conditions such as SARCOIDOSIS.","[('PNEUMONIA', 'DISE'), ('SARCOIDOSIS', 'DRUG')]","[(56, 65, 'DISE'), (102, 113, 'DRUG')]",0
"Although the WOLFRAM SYNDROME is rare, it should be considered in diabetic patients with UNEXPLAINED OPTIC ATROPHY and hearing loss or with polyuria and polydipsia in the presence of adequate blood sugar control.","[('UNEXPLAINED OPTIC ATROPHY', 'DISE'), ('WOLFRAM SYNDROME', 'SYMP')]","[(89, 113, 'DISE'), (13, 29, 'SYMP')]",1
"Hyperemesis gravidarum (see  HYPEREMESIS GRAVIDARUM ) is persistent PREGNCY INDUCED VOMITING that causes significant dehydration, often with electrolyte abnormalities or ketosis.","[('PREGNCY INDUCED VOMITING', 'DISE'), ('HYPEREMESIS GRAVIDARUM', 'DRUG')]","[(68, 94, 'DISE'), (29, 51, 'DRUG')]",0
"Pamidronic acid or pamidrote disodium , pamidrote disodium pentahydrate is a nitrogen containing BISPHOSPHOTE, used to prevent OSTEOPOROSIS.","[('OSTEOPOROSIS', 'DISE'), ('BISPHOSPHOTE', 'DRUG')]","[(133, 145, 'DISE'), (101, 115, 'DRUG')]",2
Local recurrences are increased in frequency and number when invasive or IN SITU CARCINOMA or SEVERE DYSPLASIA is present at the margins,"[('SEVERE DYSPLASIA', 'DISE'), ('IN SITU CARCINOMA', 'DRUG')]","[(94, 110, 'DISE'), (73, 90, 'DRUG')]",0
"All patients had ECZEMA on their hands; in addition, 4 had SKIN symptoms on airborne areas, i.e., wrists, neck and face.","[('SKIN', 'DISE'), ('ECZEMA', 'DRUG')]","[(59, 63, 'DISE'), (17, 23, 'DRUG')]",0
"The inner part of the spiracle, still connected to the PHARYNX, forms the EUSTACHIAN TUBE.","[('EUSTACHIAN TUBE', 'DISE'), ('PHARYNX', 'DRUG')]","[(74, 89, 'DISE'), (55, 62, 'DRUG')]",0
3.2 Evaluate symptoms to distinguish MIGRAINE from tension type or other types of HEADACHE in patients with a normal neurologic exam.,"[('HEADACHE', 'DISE'), ('MIGRAINE', 'SYMP')]","[(82, 90, 'DISE'), (37, 45, 'SYMP')]",1
"At the first sign of psychiatric, neurological, PERIPHERAL NEUROPATHY tendonitis or hypersensitivity reactions FLUOROQUINOLONES should be discontinued.","[('PERIPHERAL NEUROPATHY', 'DISE'), ('FLUOROQUINOLONES', 'DRUG')]","[(48, 69, 'DISE'), (111, 127, 'DRUG')]",0
"Abrupt withdrawal of ZOLPIDEM may cause delirium, seizures or other severe effects, especially if used for PROLONGED PERIODs and at high dosages.","[('PROLONGED PERIOD', 'DISE'), ('ZOLPIDEM', 'DRUG')]","[(107, 123, 'DISE'), (21, 29, 'DRUG')]",0
